

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
191.254  005.881  005.713: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/barbar.nvim/plugin/bufferline.vim
191.765  000.354  000.354: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-nvim/plugin/completion.vim
198.949  007.098  007.098: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-treesitter/plugin/completion-treesitter.vim
199.177  000.135  000.135: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/diagnostic-nvim/plugin/diagnostic.vim
199.636  000.377  000.377: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/express_line.nvim/plugin/express_line.vim
200.118  000.390  000.390: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/firenvim/plugin/firenvim.vim
200.266  000.022  000.022: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf/plugin/fzf.vim
201.589  001.230  001.230: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf.vim/plugin/fzf.vim
201.980  000.221  000.221: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/iron.nvim/plugin/iron.vim
202.078  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
202.237  000.038  000.038: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
202.432  000.086  000.086: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/nvim_lsp.vim
202.577  000.056  000.056: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lsputils/plugin/nvim-lsputils.vim
204.356  001.678  001.678: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
204.436  000.022  000.022: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
206.292  001.788  001.788: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-context/plugin/treesitter-context.vim
207.104  000.708  000.708: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
208.063  000.866  000.866: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
208.233  000.044  000.044: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
208.342  000.007  000.007: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pandoc.nvim/plugin/pandoc.vim
208.430  000.014  000.014: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
211.953  003.463  003.463: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
212.083  000.042  000.042: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/popfix/plugin/popfix.vim
212.228  000.042  000.042: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/rooter.nvim/plugin/rooter.vim
212.761  000.449  000.449: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/searchReplace.vim/plugin/searchReplace.vim
213.184  000.305  000.305: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/switch.vim/plugin/switch.vim
213.565  000.285  000.285: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/targets.vim/plugin/targets.vim
213.811  000.156  000.156: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
214.674  000.780  000.780: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/termwrapper.nvim/plugin/termwrapper.vim
215.193  000.086  000.086: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/autoload/UltiSnips/map_keys.vim
215.293  000.528  000.441: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/plugin/UltiSnips.vim
215.362  000.021  000.021: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
215.595  000.164  000.164: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-commentary/plugin/commentary.vim
215.928  000.253  000.253: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-cool/plugin/cool.vim
218.848  002.839  002.839: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-devicons/plugin/webdevicons.vim
219.198  000.251  000.251: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-easy-align/plugin/easy_align.vim
219.842  000.541  000.541: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-exchange/plugin/exchange.vim
220.413  000.479  000.479: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-floaterm/plugin/floaterm.vim
222.263  001.758  001.758: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
222.336  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
222.647  000.057  000.057: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/unmatchit.vim
223.353  000.018  000.018: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/unmatchit.vim
223.836  000.017  000.017: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
225.180  000.338  000.338: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup.vim
225.443  000.122  000.122: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/perf.vim
226.411  000.375  000.375: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/loader.vim
227.380  000.477  000.477: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/matchparen.vim
229.000  006.591  005.187: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/plugin/matchup.vim
229.235  000.116  000.116: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-pasta/plugin/pasta.vim
230.161  000.745  000.745: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/operator/sandwich.vim
230.426  000.240  000.240: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/sandwich.vim
230.670  000.221  000.221: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/textobj/sandwich.vim
230.915  000.134  000.134: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-smoothie/plugin/smoothie.vim
231.056  000.041  000.041: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-snippets/plugin/vimsnippets.vim
231.749  000.482  000.482: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-textobj-user/autoload/textobj/user.vim
234.186  003.029  002.547: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-textobj-comment/plugin/textobj/comment.vim
236.050  001.754  001.754: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-textobj-entire/plugin/textobj/entire.vim
246.279  010.106  010.106: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-unimpaired/plugin/unimpaired.vim
247.525  001.143  001.143: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip/plugin/vsnip.vim
247.755  000.137  000.137: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/plugin/vsnip_integ.vim
247.934  000.093  000.093: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/zoom.nvim/plugin/zoom.vim
248.013  005.869: loading packages
248.235  000.026  000.026: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/integration.vim
248.371  000.058  000.058: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/detection.vim
251.228  003.094  003.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/after/plugin/vsnip_integ.vim
251.338  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/after/plugin/matchit.vim
251.563  000.153  000.153: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/after/plugin/UltiSnips_after.vim
252.258  000.625  000.625: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indentLine/after/plugin/indentLine.vim
253.582  001.245  001.245: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-buffers/after/plugin/completion_buffers.vim
253.668  000.526: loading after plugins
253.691  000.023: inits 3
255.739  002.048: reading ShaDa
257.178  000.039  000.039: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/re.vim
257.857  002.079: opening buffers
262.344  004.487: BufEnter autocommands
262.349  000.004: editing files in windows
262.630  000.282: VimEnter autocommands
263.306  000.337  000.337: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/firenvim/autoload/firenvim.vim
263.339  000.372: UIEnter autocommands
263.984  000.239  000.239: sourcing /usr/share/nvim/runtime/autoload/provider/clipboard.vim
263.991  000.413: before starting main loop
264.334  000.119  000.119: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/pos.vim
265.474  001.364: first screen update
265.477  000.003: --- NVIM STARTED ---
