

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
171.064  000.026  000.026: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/rooter.nvim/plugin/rooter.vim
171.355  000.211  000.211: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/switch.vim/plugin/switch.vim
171.609  000.191  000.191: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/targets.vim/plugin/targets.vim
171.866  000.196  000.196: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
172.418  000.493  000.493: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/termwrapper.nvim/plugin/termwrapper.vim
172.833  000.056  000.056: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/autoload/UltiSnips/map_keys.vim
172.904  000.430  000.375: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/plugin/UltiSnips.vim
172.945  000.012  000.012: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
173.097  000.113  000.113: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-commentary/plugin/commentary.vim
173.344  000.199  000.199: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-cool/plugin/cool.vim
174.952  001.556  001.556: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-devicons/plugin/webdevicons.vim
175.147  000.132  000.132: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-easy-align/plugin/easy_align.vim
175.493  000.297  000.297: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-exchange/plugin/exchange.vim
175.846  000.300  000.300: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-floaterm/plugin/floaterm.vim
177.076  001.178  001.178: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
177.126  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
177.305  000.038  000.038: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/unmatchit.vim
177.818  000.010  000.010: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
178.664  000.184  000.184: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup.vim
178.829  000.086  000.086: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/perf.vim
179.437  000.283  000.283: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/loader.vim
180.038  000.366  000.366: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/matchparen.vim
181.023  003.857  002.891: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/plugin/matchup.vim
181.169  000.080  000.080: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-pasta/plugin/pasta.vim
181.818  000.538  000.538: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/operator/sandwich.vim
181.981  000.146  000.146: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/sandwich.vim
182.128  000.132  000.132: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/textobj/sandwich.vim
182.266  000.086  000.086: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-smoothie/plugin/smoothie.vim
182.348  000.024  000.024: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-snippets/plugin/vimsnippets.vim
182.827  000.349  000.349: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-textobj-user/autoload/textobj/user.vim
184.235  001.831  001.482: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-textobj-comment/plugin/textobj/comment.vim
185.268  000.964  000.964: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-textobj-entire/plugin/textobj/entire.vim
190.858  005.522  005.522: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-unimpaired/plugin/unimpaired.vim
191.413  000.495  000.495: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip/plugin/vsnip.vim
191.603  000.112  000.112: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/plugin/vsnip_integ.vim
191.673  003.337: loading packages
191.804  000.017  000.017: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/integration.vim
191.885  000.036  000.036: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/autoload/vsnip_integ/detection.vim
193.143  001.400  001.347: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-vsnip-integ/after/plugin/vsnip_integ.vim
193.212  000.007  000.007: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/after/plugin/matchit.vim
193.349  000.101  000.101: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/after/plugin/UltiSnips_after.vim
193.786  000.396  000.396: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indentLine/after/plugin/indentLine.vim
195.003  001.162  001.162: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-buffers/after/plugin/completion_buffers.vim
195.048  000.311: loading after plugins
195.059  000.011: inits 3
198.257  003.199: reading ShaDa
199.387  000.028  000.028: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/re.vim
199.945  001.660: opening buffers
202.820  002.875: BufEnter autocommands
202.826  000.006: editing files in windows
202.975  000.149: VimEnter autocommands
203.398  000.239  000.239: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/firenvim/autoload/firenvim.vim
203.419  000.205: UIEnter autocommands
203.834  000.191  000.191: sourcing /usr/share/nvim/runtime/autoload/provider/clipboard.vim
203.839  000.229: before starting main loop
204.066  000.081  000.081: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/pos.vim
205.058  001.139: first screen update
205.061  000.002: --- NVIM STARTED ---
