

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
159.522  000.189  000.189: sourcing /usr/share/nvim/runtime/plugin/shada.vim
159.579  000.033  000.033: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
159.618  000.021  000.021: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
159.652  000.014  000.014: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
159.697  000.028  000.028: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
159.740  000.021  000.021: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
160.532  000.705  000.705: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
161.307  000.752  000.752: sourcing /usr/share/vim/vimfiles/plugin/skim.vim
161.330  005.558: loading plugins
161.912  000.019  000.019: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/aniseed/plugin/aniseed.vim
162.445  000.453  000.453: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
162.953  000.332  000.332: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-nvim/plugin/completion.vim
169.932  006.890  006.890: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-treesitter/plugin/completion-treesitter.vim
170.170  000.135  000.135: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/diagnostic-nvim/plugin/diagnostic.vim
170.421  000.158  000.158: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/firenvim/plugin/firenvim.vim
170.526  000.021  000.021: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf/plugin/fzf.vim
171.653  001.054  001.054: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf.vim/plugin/fzf.vim
171.950  000.205  000.205: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/galaxyline.nvim/plugin/galaxyline.vim
172.420  000.019  000.019: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/autoload/indent_blankline/helper.vim
172.695  000.611  000.592: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
172.810  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
172.938  000.037  000.037: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
173.077  000.059  000.059: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
173.221  000.056  000.056: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lsputils/plugin/nvim-lsputils.vim
174.995  001.686  001.686: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
175.088  000.024  000.024: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
176.937  000.036  000.036: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/autoload/nvim_treesitter.vim
177.280  002.105  002.070: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-context/plugin/treesitter-context.vim
178.073  000.693  000.693: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
181.182  003.008  003.008: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
181.316  000.043  000.043: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
181.412  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pandoc.nvim/plugin/pandoc.vim
181.506  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
183.804  002.231  002.231: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
183.935  000.043  000.043: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/popfix/plugin/popfix.vim
184.093  000.047  000.047: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/rooter.nvim/plugin/rooter.vim
184.490  000.292  000.292: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/targets.vim/plugin/targets.vim
184.755  000.177  000.177: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
