

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
169.150  000.024  000.024: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
170.827  000.032  000.032: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/autoload/nvim_treesitter.vim
171.127  001.912  001.880: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-context/plugin/treesitter-context.vim
171.671  000.436  000.436: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
173.887  002.134  002.134: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
174.015  000.047  000.047: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
174.105  000.006  000.006: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pandoc.nvim/plugin/pandoc.vim
174.179  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
176.220  001.982  001.982: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
176.338  000.039  000.039: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/popfix/plugin/popfix.vim
176.483  000.039  000.039: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/rooter.nvim/plugin/rooter.vim
176.839  000.264  000.264: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/targets.vim/plugin/targets.vim
177.180  000.169  000.169: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
177.343  000.086  000.086: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/termwrapper.nvim/plugin/termwrapper.vim
177.588  000.172  000.172: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-commentary/plugin/commentary.vim
177.996  000.326  000.326: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-cool/plugin/cool.vim
180.340  002.266  002.266: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-devicons/plugin/webdevicons.vim
180.608  000.178  000.178: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-easy-align/plugin/easy_align.vim
181.073  000.384  000.384: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-floaterm/plugin/floaterm.vim
182.610  001.449  001.449: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
182.684  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
182.953  000.061  000.061: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/unmatchit.vim
183.469  000.014  000.014: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/unmatchit.vim
183.982  000.017  000.017: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
184.951  000.230  000.230: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup.vim
